length=;8377;
t1;t2;x;y;yaw;numCorners;numMatches;numInliers;estValid;
1417771353.67700004577636718750;1417771353.73200011253356933594;-0.128;-0.231;0.017;931;844;833;1;
1417771353.73200011253356933594;1417771353.78699994087219238281;-0.064;-0.090;-0.002;939;861;842;1;
1417771353.78699994087219238281;1417771353.84200000762939453125;-0.044;0.045;-0.012;916;846;832;1;
1417771353.84200000762939453125;1417771353.89700007438659667969;-0.017;-0.007;-0.018;937;855;843;1;
1417771353.89700007438659667969;1417771353.95199990272521972656;-0.046;0.034;-0.009;946;852;839;1;
1417771353.95199990272521972656;1417771354.00600004196166992188;-0.110;-0.077;-0.003;920;846;825;1;
1417771354.00600004196166992188;1417771354.06100010871887207031;-0.053;-0.114;0.017;941;854;839;1;
1417771354.06100010871887207031;1417771354.11599993705749511719;-0.066;0.082;-0.017;938;853;847;1;
1417771354.11599993705749511719;1417771354.17100000381469726562;-0.067;-0.114;0.014;917;834;828;1;
1417771354.17100000381469726562;1417771354.22600007057189941406;-0.055;0.107;-0.013;943;841;823;1;
1417771354.22600007057189941406;1417771354.28099989891052246094;-0.085;-0.062;0.004;952;861;850;1;
1417771354.28099989891052246094;1417771354.33599996566772460938;-0.076;0.090;-0.020;944;851;846;1;
1417771354.33599996566772460938;1417771354.39100003242492675781;-0.055;-0.054;0.005;956;865;844;1;
1417771354.39100003242492675781;1417771354.44600009918212890625;-0.069;-0.015;-0.013;976;879;866;1;
1417771354.44600009918212890625;1417771354.50099992752075195312;-0.052;-0.023;0.004;969;865;850;1;
1417771354.50099992752075195312;1417771354.55599999427795410156;-0.124;0.125;-0.016;978;871;859;1;
1417771354.55599999427795410156;1417771354.61100006103515625000;-0.067;-0.011;0.001;958;860;836;1;
1417771354.61100006103515625000;1417771354.66700005531311035156;-0.063;-0.187;0.017;985;869;854;1;
1417771354.66700005531311035156;1417771354.72300004959106445312;-0.122;-0.088;0.002;983;868;859;1;
1417771354.72300004959106445312;1417771354.77800011634826660156;-0.060;0.014;-0.001;985;876;863;1;
1417771354.77800011634826660156;1417771354.83299994468688964844;-0.003;0.004;-0.020;979;878;870;1;
1417771354.83299994468688964844;1417771354.88800001144409179688;-0.073;-0.011;-0.002;1000;882;858;1;
1417771354.88800001144409179688;1417771354.94300007820129394531;-0.099;0.001;-0.006;1000;883;867;1;
1417771354.94300007820129394531;1417771354.99799990653991699219;-0.044;-0.107;-0.006;978;854;843;1;
1417771354.99799990653991699219;1417771355.05299997329711914062;-0.031;-0.087;-0.018;981;868;865;1;
1417771355.05299997329711914062;1417771355.10800004005432128906;-0.117;-0.167;-0.009;966;857;851;1;
1417771355.10800004005432128906;1417771355.16300010681152343750;-0.116;-0.005;-0.031;960;870;862;1;
1417771355.16300010681152343750;1417771355.21799993515014648438;-0.089;0.041;-0.044;938;842;834;1;
1417771355.21799993515014648438;1417771355.27300000190734863281;-0.132;0.029;-0.063;969;874;862;1;
1417771355.27300000190734863281;1417771355.32800006866455078125;-0.107;-0.186;-0.038;936;846;838;1;
1417771355.32800006866455078125;1417771355.38299989700317382812;-0.108;-0.134;-0.054;973;870;854;1;
1417771355.38299989700317382812;1417771355.43799996376037597656;-0.078;-0.043;-0.100;934;833;828;1;
1417771355.43799996376037597656;1417771355.49300003051757812500;-0.137;-0.042;-0.124;895;820;816;1;
1417771355.49300003051757812500;1417771355.54800009727478027344;-0.035;0.235;-0.151;812;756;751;1;
