frame;rangeResMag;bearingResMag;rangeResClr;height;width
151;0.036875;0.180528;0.036875;750;256
152;0.036875;0.180528;0.036875;750;256
153;0.036875;0.180528;0.036875;750;256
154;0.036875;0.180528;0.036875;750;256
155;0.036875;0.180528;0.036875;750;256
156;0.036875;0.180528;0.036875;750;256
157;0.036875;0.180528;0.036875;750;256
158;0.036875;0.180528;0.036875;750;256
159;0.036875;0.180528;0.036875;750;256
160;0.036875;0.180528;0.036875;750;256
161;0.036875;0.180528;0.036875;750;256
162;0.036875;0.180528;0.036875;750;256
163;0.036875;0.180528;0.036875;750;256
164;0.036875;0.180528;0.036875;750;256
165;0.036875;0.180528;0.036875;750;256
166;0.036875;0.180528;0.036875;750;256
167;0.036875;0.180528;0.036875;750;256
168;0.036875;0.180528;0.036875;750;256
169;0.036875;0.180528;0.036875;750;256
170;0.036875;0.180528;0.036875;750;256
171;0.036875;0.180528;0.036875;750;256
172;0.036875;0.180528;0.036875;750;256
173;0.036875;0.180528;0.036875;750;256
174;0.036875;0.180528;0.036875;750;256
175;0.036875;0.180528;0.036875;750;256
176;0.036875;0.180528;0.036875;750;256
177;0.036875;0.180528;0.036875;750;256
178;0.036875;0.180528;0.036875;750;256
179;0.036875;0.180528;0.036875;750;256
180;0.036875;0.180528;0.036875;750;256
181;0.036875;0.180528;0.036875;750;256
182;0.036875;0.180528;0.036875;750;256
183;0.036875;0.180528;0.036875;750;256
184;0.036875;0.180528;0.036875;750;256
185;0.036875;0.180528;0.036875;750;256
186;0.036875;0.180528;0.036875;750;256
187;0.036875;0.180528;0.036875;750;256
188;0.036875;0.180528;0.036875;750;256
189;0.036875;0.180528;0.036875;750;256
190;0.036875;0.180528;0.036875;750;256
191;0.036875;0.180528;0.036875;750;256
192;0.036875;0.180528;0.036875;750;256
193;0.036875;0.180528;0.036875;750;256
194;0.036875;0.180528;0.036875;750;256
195;0.036875;0.180528;0.036875;750;256
196;0.036875;0.180528;0.036875;750;256
197;0.036875;0.180528;0.036875;750;256
198;0.036875;0.180528;0.036875;750;256
